=== Sheet: README ===
《三国志：治世与乱世》数据母表 V0.1
项目	《三国志：治世与乱世》
文档类型	Excel 数据母表骨架
版本	V0.1
生成日期	2026-06-03
当前定位	用于系统策划、数值策划、程序和内容组协作；不是最终完整数据。
使用原则	先补字段和示例，再补全量内容；地图、武将库、技能库可在本母表基础上拆分专项。
设计底线	部队从城池出阵；携带随军粮草；大地图移动需要时间；移动和作战消耗粮草；战斗结果回流大地图；战后占领需要整合。
建议流程
1	程序组先审字段是否满足状态机和存档需要。
2	系统策划补充规则表、状态枚举和字段解释。
3	数值策划补充公式、参数范围和调参备注。
4	内容组再进入最终城池库、武将库、技能库、剧本初始状态。
=== Sheet: 表目录 ===
表名	类型	用途	来源章节	当前状态
master_region	主数据表	定义州、地理大区、战略归属和显示顺序。	05_世界结构与地图规则	草案
master_city	主数据表	定义城池静态属性，最终城池清单后续专项补齐。	05_世界结构与地图规则 / 16_数据库结构	草案
master_route_node	主数据表 / 关联表	定义大地图行军节点、道路、水路和补给通道。	05_世界结构与地图规则 / 12_军事行军补给	草案
master_force	主数据表	定义剧本中的势力静态信息和 AI 基础风格。	06_君主势力与汉室正统 / 16_数据库结构	草案
master_officer	主数据表	定义武将静态资料和基础能力；最终武将库后续专项补齐。	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
officer_relation	关联表	定义宗族、旧主、姻亲、好友、仇敌、师徒等关系。	07_人才任命 / 11_外交谋略与人物关系	草案
appointment_policy	主数据表 / 规则表	合并记录岗位槽位、官职和政令配置入口，后续可拆表。	07_人才任命 / 09_政令官制	草案
city_governance	状态表 / 主数据表	记录城市动态状态、设施和新占恢复相关配置。	08_内政与治世系统 / 14_战后整合	草案
skill_tactic	主数据表 / 关联表	记录技能、战法、原型功能映射和三国化命名。	10_武将能力特技与战法	草案
military_supply	状态表 / 规则表	固定军事底线：城池出阵、移动耗时、携粮、消耗和缺粮惩罚。	12_军事行军与补给 / 23_时间系统	草案
battle_rules	规则表 / 状态表	记录战斗类型、士气、围城、港口、水路和结果回流规则。	13_野战攻城关隘与水战	草案
diplomacy_postwar	状态表 / 规则表	连接外交信用、谋略、劝降、声势扩散、归附和战后治理。	11_外交谋略 / 14_声势归附与战后整合	草案
ai_governorate	状态表 / 配置表	定义都督府范围、委任权限、AI 性格、目标选择和献策。	15_都督府委任与AI / 29_AI难度	草案
scenario_event	主数据表 / 状态表 / 文本表	定义剧本入口、初始归属、历史事件链和改史条件。	26_胜利终局 / 27_剧本历史事件与改史框架	草案
effect_formula_config	配置表 / 规则表	统一记录效果组、触发条件、公式 ID 和可调参数。	16_数据库结构 / 28_数值体系与平衡方法论	草案
=== Sheet: 字段字典 ===
sheet	field	type	required	key_or_ref	description	source	status
master_route_node	supply_modifier	float	Y		粮草消耗或补给修正	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	control_required	bool	Y		是否需要控制节点才能安全通行	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	battle_trigger	enum	N		none / field / pass / port / river	05_世界结构与地图规则 / 12_军事行军补给	草案
master_route_node	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	05_世界结构与地图规则 / 12_军事行军补给	草案
master_force	force_id	string	Y	PK	势力唯一 ID	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	force_name	string	Y		势力名	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	ruler_officer_id	string	Y	FK master_officer	君主武将 ID	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	capital_city_id	string	Y	FK master_city	首府	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	ideology	enum	N		复汉 / 霸府 / 割据 / 士族 / 军阀	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	ai_personality_id	string	N	FK ai_personality	AI 性格	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	legitimacy_base	int	Y		初始正统	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	prestige_base	int	Y		初始名望	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	diplomacy_profile	enum	N		激进 / 均衡 / 守成 / 谋略	06_君主势力与汉室正统 / 16_数据库结构	草案
master_force	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	06_君主势力与汉室正统 / 16_数据库结构	草案
master_officer	officer_id	string	Y	PK	武将唯一 ID	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	name	string	Y		姓名	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	courtesy_name	string	N		字	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	era_tag	enum	N		黄巾 / 群雄 / 官渡 / 赤壁 / 三国 / 后期	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	birth_year	int	N		出生年	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	death_year	int	N		死亡年	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	gender	enum	Y		M / F	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	clan_id	string	N		宗族 ID	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	origin_region_id	string	N	FK master_region	出身州	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ability_leadership	int	Y		统率	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ability_martial	int	Y		武力	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ability_intellect	int	Y		智略	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ability_politics	int	Y		政治	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ability_charm	int	Y		魅力	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ambition	int	Y		野心	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	loyalty_base	int	Y		基础忠诚	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	ideology	enum	N		复汉 / 霸府 / 士族 / 功名 / 仁政 / 法度	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
master_officer	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构	草案
officer_relation	relation_id	string	Y	PK	关系唯一 ID	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	officer_a_id	string	Y	FK master_officer	人物 A	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	officer_b_id	string	Y	FK master_officer	人物 B	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	relation_type	enum	Y		clan / sworn / spouse / friend / rival / former_lord / mentor	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	relation_strength	int	Y		关系强度，正负均可	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	is_bidirectional	bool	Y		是否双向	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	effect_tag	string	N		对忠诚、劝降、协同、仇敌战斗的影响标签	07_人才任命 / 11_外交谋略与人物关系	草案
officer_relation	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	07_人才任命 / 11_外交谋略与人物关系	草案
appointment_policy	entry_id	string	Y	PK	条目 ID	07_人才任命 / 09_政令官制	草案
appointment_policy	entry_type	enum	Y		appointment_slot / office_rank / policy / bureaucracy	07_人才任命 / 09_政令官制	草案
appointment_policy	name	string	Y		显示名	07_人才任命 / 09_政令官制	草案
appointment_policy	route_type	enum	N		内政 / 军事 / 人才 / 外交 / 正统 / 都督	07_人才任命 / 09_政令官制	草案
appointment_policy	unlock_condition	string	N		解锁条件 ID 或说明	07_人才任命 / 09_政令官制	草案
appointment_policy	slot_scope	enum	N		city / commandery / governorate / force	07_人才任命 / 09_政令官制	草案
appointment_policy	monthly_cost_gold	int	N		月维护金	07_人才任命 / 09_政令官制	草案
appointment_policy	monthly_cost_food	int	N		月维护粮	07_人才任命 / 09_政令官制	草案
appointment_policy	effect_group_id	string	N	FK effect_group	效果组	07_人才任命 / 09_政令官制	草案
appointment_policy	negative_effect_group_id	string	N	FK effect_group	负面效果组	07_人才任命 / 09_政令官制	草案
appointment_policy	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	07_人才任命 / 09_政令官制	草案
city_governance	entry_id	string	Y	PK	状态或设施条目 ID	08_内政与治世系统 / 14_战后整合	草案
city_governance	entry_type	enum	Y		state_city / facility / recovery_rule / gentry_state	08_内政与治世系统 / 14_战后整合	草案
city_governance	city_id	string	N	FK master_city	城池 ID	08_内政与治世系统 / 14_战后整合	草案
city_governance	owner_force_id	string	N	FK master_force	所属势力	08_内政与治世系统 / 14_战后整合	草案
city_governance	current_role	enum	N		农业 / 商业 / 军事 / 交通 / 都城 / 前线	08_内政与治世系统 / 14_战后整合	草案
city_governance	current_troops	int	N		当前兵力	08_内政与治世系统 / 14_战后整合	草案
city_governance	current_food	int	N		当前粮草	08_内政与治世系统 / 14_战后整合	草案
city_governance	current_gold	int	N		当前金钱	08_内政与治世系统 / 14_战后整合	草案
city_governance	public_order	int	N		治安	08_内政与治世系统 / 14_战后整合	草案
city_governance	morale_public	int	N		民心	08_内政与治世系统 / 14_战后整合	草案
city_governance	gentry_support	int	N		士族支持	08_内政与治世系统 / 14_战后整合	草案
city_governance	recovery_state	enum	N		normal / occupied / unrest / recovering	08_内政与治世系统 / 14_战后整合	草案
city_governance	effect_group_id	string	N	FK effect_group	设施或恢复效果	08_内政与治世系统 / 14_战后整合	草案
city_governance	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	08_内政与治世系统 / 14_战后整合	草案
skill_tactic	entry_id	string	Y	PK	技能、战法或映射条目 ID	10_武将能力特技与战法	草案
skill_tactic	entry_type	enum	Y		trait / tactic / officer_trait / rename_map / synergy_rule	10_武将能力特技与战法	草案
skill_tactic	name	string	Y		三国化显示名	10_武将能力特技与战法	草案
skill_tactic	prototype_function_tag	string	N		参考框架中的功能标签，不写原文文本	10_武将能力特技与战法	草案
skill_tactic	category	enum	Y		内政 / 军事 / 外交 / 谋略 / 声势 / 关系 / 地形	10_武将能力特技与战法	草案
skill_tactic	trigger_scope	enum	N		city / army / battle / force / diplomacy / postwar	10_武将能力特技与战法	草案
skill_tactic	target_scope	enum	N		self / city / army / enemy / ally / region	10_武将能力特技与战法	草案
skill_tactic	cost_type	enum	N		none / cooldown / morale / tactic_point / gold / food	10_武将能力特技与战法	草案
skill_tactic	cost_value	float	N		消耗数值	10_武将能力特技与战法	草案
skill_tactic	effect_group_id	string	Y	FK effect_group	效果组	10_武将能力特技与战法	草案
skill_tactic	description_text	text	N		策划描述	10_武将能力特技与战法	草案
skill_tactic	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	10_武将能力特技与战法	草案
military_supply	entry_id	string	Y	PK	规则或状态条目 ID	12_军事行军与补给 / 23_时间系统	草案
military_supply	entry_type	enum	Y		state_army / food_rule / movement_rule / supply_rule / transition	12_军事行军与补给 / 23_时间系统	草案
military_supply	origin_city_id	string	N	FK master_city	出阵城	12_军事行军与补给 / 23_时间系统	草案
military_supply	commander_officer_id	string	N	FK master_officer	主将	12_军事行军与补给 / 23_时间系统	草案
military_supply	troop_count	int	N		兵力	12_军事行军与补给 / 23_时间系统	草案
military_supply	food_current	int	N		当前随军粮	12_军事行军与补给 / 23_时间系统	草案
military_supply	food_capacity	int	N		携粮上限	12_军事行军与补给 / 23_时间系统	草案
military_supply	movement_speed_base	float	N		基础移动速度	12_军事行军与补给 / 23_时间系统	草案
military_supply	food_cost_per_day	float	N		日粮耗	12_军事行军与补给 / 23_时间系统	草案
military_supply	out_of_supply_penalty	string	N		缺粮惩罚 ID 或说明	12_军事行军与补给 / 23_时间系统	草案
military_supply	state_from	enum	N		待机 / 整军 / 行军 / 接敌 / 围城 / 撤退 / 缺粮 / 归城	12_军事行军与补给 / 23_时间系统	草案
military_supply	state_to	enum	N		目标状态	12_军事行军与补给 / 23_时间系统	草案
military_supply	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	12_军事行军与补给 / 23_时间系统	草案
battle_rules	rule_id	string	Y	PK	规则 ID	13_野战攻城关隘与水战	草案
battle_rules	battle_type	enum	Y		field / siege / pass / port / river	13_野战攻城关隘与水战	草案
battle_rules	trigger_condition	string	Y		触发条件	13_野战攻城关隘与水战	草案
battle_rules	participant_scope	enum	Y		army / city / node / route	13_野战攻城关隘与水战	草案
battle_rules	morale_base	int	N		基础士气	13_野战攻城关隘与水战	草案
battle_rules	terrain_bonus_tag	string	N		地形修正标签	13_野战攻城关隘与水战	草案
battle_rules	siege_device_tag	string	N		攻城器械标签	13_野战攻城关隘与水战	草案
battle_rules	result_effect_group_id	string	Y	FK effect_group	战斗结果效果组	13_野战攻城关隘与水战	草案
battle_rules	map_feedback	string	Y		回流大地图的结果	13_野战攻城关隘与水战	草案
battle_rules	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	13_野战攻城关隘与水战	草案
diplomacy_postwar	entry_id	string	Y	PK	条目 ID	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	entry_type	enum	Y		diplomacy_state / scheme_action / surrender_rule / momentum_rule / integration	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	source_force_id	string	N	FK master_force	发起势力	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	target_force_id	string	N	FK master_force	目标势力	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	action_name	string	N		行动名	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	cost_gold	int	N		金钱成本	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	cost_prestige	int	N		名望成本	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	condition_group_id	string	N	FK condition_group	条件组	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	success_formula_id	string	N	FK formula_config	成功率公式	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	effect_group_id	string	Y	FK effect_group	效果组	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	cooldown_days	int	N		冷却时间	11_外交谋略 / 14_声势归附与战后整合	草案
diplomacy_postwar	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	11_外交谋略 / 14_声势归附与战后整合	草案
ai_governorate	entry_id	string	Y	PK	条目 ID	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	entry_type	enum	Y		governorate / permission / ai_personality / proposal / strategy_state	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	name	string	Y		显示名	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	scope_type	enum	N		force / region / city / army	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	owner_force_id	string	N	FK master_force	所属势力	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	leader_officer_id	string	N	FK master_officer	都督或 AI 负责人	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	permission_flags	string	N		可委任权限集合	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	strategy_weight_expand	float	N		扩张权重	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	strategy_weight_defend	float	N		防守权重	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	strategy_weight_supply	float	N		补给权重	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	proposal_condition_id	string	N		献策条件	15_都督府委任与AI / 29_AI难度	草案
ai_governorate	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	15_都督府委任与AI / 29_AI难度	草案
scenario_event	entry_id	string	Y	PK	条目 ID	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	entry_type	enum	Y		scenario / scenario_city / scenario_officer / event / ending	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	scenario_id	string	N		剧本 ID	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	year	int	N		年份	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	month	int	N		月份	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	force_id	string	N	FK master_force	相关势力	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	city_id	string	N	FK master_city	相关城池	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	officer_id	string	N	FK master_officer	相关武将	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	condition_group_id	string	N		触发条件	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	effect_group_id	string	N		效果组	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	text_id	string	N		文本 ID	26_胜利终局 / 27_剧本历史事件与改史框架	草案
scenario_event	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	26_胜利终局 / 27_剧本历史事件与改史框架	草案
effect_formula_config	entry_id	string	Y	PK	效果、条件、公式或参数 ID	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	entry_type	enum	Y		effect / effect_group / condition / formula / parameter	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	name	string	Y		显示名	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	system_domain	enum	Y		world / city / officer / policy / battle / supply / diplomacy / ai	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	trigger_scope	enum	N		触发范围	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	target_scope	enum	N		目标范围	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	formula_expression	text	N		公式表达，后续由数值策划固化	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	default_value	float	N		默认参数	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	min_value	float	N		最小值	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	max_value	float	N		最大值	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	tuning_note	text	N		调参说明	16_数据库结构 / 28_数值体系与平衡方法论	草案
effect_formula_config	status	enum	Y		草案 / 待确认 / 已确认 / 暂缓 / 废弃	16_数据库结构 / 28_数值体系与平衡方法论	草案
=== Sheet: master_region ===
州与地理大区主表
表类型	主数据表
用途	定义州、地理大区、战略归属和显示顺序。
来源章节	05_世界结构与地图规则
填写状态	V0.1 字段骨架；示例行为占位，不代表最终数据。
region_id	region_name	macro_area	display_order	terrain_theme	strategic_note	status
州或地理大区唯一 ID	州名，例如司隶、冀州、荆州	北方 / 中原 / 关中 / 巴蜀 / 江东 / 荆襄 / 西北 / 南中	UI 和数据表排序	主要地貌主题	战略说明	草案 / 待确认 / 已确认 / 暂缓 / 废弃
string 必填 PK	string 必填	enum 必填	int 必填	enum	text	enum 必填
REG_SILI	司隶	中原	10	平原+关隘	洛阳、长安周边，政治正统和战略通道核心。	草案
REG_JING	荆州	荆襄	50	江河+平原	南北通道与水陆转换枢纽。	草案
=== Sheet: master_city ===
城池主表
表类型	主数据表
用途	定义城池静态属性，最终城池清单后续专项补齐。
来源章节	05_世界结构与地图规则 / 16_数据库结构
填写状态	V0.1 字段骨架；示例行为占位，不代表最终数据。
city_id	city_name	region_id	commandery_id	terrain_type	city_scale	defense_base	agriculture_base	commerce_base	population_base	supply_capacity_base	default_role	is_capital_candidate	status
城池唯一 ID	城池显示名	所属州	所属郡	平原 / 山地 / 河网 / 关隘 / 港口 / 都城	城市规模等级	基础城防	农业基础	商业基础	人口基础	粮草容量基础	农业 / 商业 / 军事 / 交通 / 都城 / 前线	是否可作为势力首府候选	草案 / 待确认 / 已确认 / 暂缓 / 废弃
string 必填 PK	string 必填	string 必填 FK master_region	string FK master_commandery	enum 必填	int 必填	int 必填	int 必填	int 必填	int 必填	int 必填	enum 必填	bool	enum 必填
CITY_LUOYANG	洛阳	REG_SILI	CMD_HENAN	都城	5	90	70	95	95	90	都城	True	草案
CITY_XIANGYANG	襄阳	REG_JING	CMD_NANJUN	河网	4	80	70	80	75	75	交通	True	草案
=== Sheet: master_route_node ===
地图节点与路线表
表类型	主数据表 / 关联表
用途	定义大地图行军节点、道路、水路和补给通道。
来源章节	05_世界结构与地图规则 / 12_军事行军补给
填写状态	V0.1 字段骨架；示例行为占位，不代表最终数据。
route_id	from_node_id	to_node_id	route_type	distance	terrain_modifier	supply_modifier	control_required	battle_trigger	status
路线唯一 ID	起点节点	终点节点	road / mountain / river / sea / pass	路线距离，供移动时间计算	移动速度修正	粮草消耗或补给修正	是否需要控制节点才能安全通行	none / field / pass / port / river	草案 / 待确认 / 已确认 / 暂缓 / 废弃
string 必填 PK	string 必填 FK node	string 必填 FK node	enum 必填	float 必填	float 必填	float 必填	bool 必填	enum	enum 必填
R_LUOYANG_HULAOGUAN	CITY_LUOYANG	NODE_HULAO	pass	35	0.85	1.1	True	pass	草案
R_XIANGYANG_JIANGXIA	CITY_XIANGYANG	CITY_JIANGXIA	river	80	1.05	0.95	False	river	草案
=== Sheet: master_force ===
势力主表
表类型	主数据表
用途	定义剧本中的势力静态信息和 AI 基础风格。
来源章节	06_君主势力与汉室正统 / 16_数据库结构
填写状态	V0.1 字段骨架；示例行为占位，不代表最终数据。
force_id	force_name	ruler_officer_id	capital_city_id	ideology	ai_personality_id	legitimacy_base	prestige_base	diplomacy_profile	status
势力唯一 ID	势力名	君主武将 ID	首府	复汉 / 霸府 / 割据 / 士族 / 军阀	AI 性格	初始正统	初始名望	激进 / 均衡 / 守成 / 谋略	草案 / 待确认 / 已确认 / 暂缓 / 废弃
string 必填 PK	string 必填	string 必填 FK master_officer	string 必填 FK master_city	enum	string FK ai_personality	int 必填	int 必填	enum	enum 必填
FORCE_CAOCAO	曹操	OFF_CAOCAO	CITY_XUCHANG	霸府	AI_EXPAND_BALANCED	70	85	均衡	草案
FORCE_LIUBEI	刘备	OFF_LIUBEI	CITY_XINYE	复汉	AI_ALLIANCE_OPPORTUNIST	80	70	谋略	草案
=== Sheet: master_officer ===
武将主表
表类型	主数据表
用途	定义武将静态资料和基础能力；最终武将库后续专项补齐。
来源章节	07_人才任命 / 10_武将能力特技战法 / 16_数据库结构
填写状态	V0.1 字段骨架；示例行为占位，不代表最终数据。
